title,dueDate,location,notes,link,typeOfOpportunity,approved,keywords
60x60 Call for One-Minute Electronic Works,30/06/2023 23:59,"London, United Kingdom","The project is back! 60x60 is calling for works!

Vox Novus is inviting composers/sound artists to submit recorded works 60 seconds or less in length to be included in this special edition of the 60x60 project. 60 compositions will be selected to be played continuously in a one-hour concert. After a long hiatus, founder and creator Robert Voisey was inspired by the continuous dedication of Slippery Rock University to 60x60 Dance. This call for works is dedicated and created specifically for a new 60x60 mix for a multimedia dance performance at Slippery Rock University.

60x60 is a one-hour-long show made by sequencing 60 pre-recorded pieces by 60 different composers, each piece a minute in length or shorter. Highlighting the work of a great many composers, 60x60 testifies to the vibrancy of contemporary composition by present a diverse array of styles, aesthetics, and techniques being used today.

60x60 mixes have received more than 350 performances in more than 30 countries including venues such as the Winter Garden Atrium at Brookfield Place, NYC; Stratford Circus London for Opening Day Festival for the 2012 London Olympics, and Museum of Contemporary Art in Chicago. 60x60 collaborates with multimedia including dance, video, photography, fine art, and theatre arts.

60x60 Dance was described by the New York Times as ""...60 new pieces of music, each lasting no more than 60 seconds - is quite mad. But it's this kind of madness that makes the cultural world go round...""

During the performance each of the 60 pieces selected will begin precisely at the beginning of the minute, this will mark the end of one piece and the beginning of another. There will be no pause between the pieces. Works may be less than 60 seconds in length, but may not exceed 60 seconds. Works selected that are less than 60 seconds long will be ""padded"" with silence either before, after, or surrounding the composition. Please note that the total duration of the work including silence may NOT exceed sixty seconds.

The 60x60 project's definition of a record work is as follows: any work created as a musical composition which is captured on recorded media, which does not require live performers for its production in broadcast at concert halls, radio, multi-media, etc. Its creation can include but not limited to acoustic instruments, voice, environmental sources, and computer (Sampling, MAX MSP, MIDI, C Sound, Ableton, Audacity, SuperCollider, Puredata, ProTools, etc.)

All works submitted should be with the understanding that it is their recording that is of prime importance and is what will be used to determine its selection.

60x60 is a project of ""signature works"" and short works created specifically for the 60x60 project. Excerpts of larger works are strongly discouraged. Works generated from procedures (i.e. mathematical matrices, organizational systems, or computer programs,) remixed works, or themes and motives recomposed from other of the composer's own work are acceptable.

The call is open to composers of any age, gender, race, sexual preference, nationality, or career stage.

Deadline for 60 second compositions for 60x60 is June 30th, 2023

There is no admission fee.

Audio submissions must be in either AIFF or WAV file format.

All submissions must be uploaded online at www.60x60.com/calls/ 

DO NOT EMAIL AUDIO FILES!

All submissions must be uploaded by June 30th, 2023

Works selected for the project will be announced on the Vox Novus mailing list and on the website.

Any questions regarding the call for works can be addressed to: Support@VoxNovus.com 

More information can be found at: 

www.60x60.com",http://www.60x60.com/calls/,"[""Other""]",FALSE,"[""compose"",""music"",""dance"",""arts"",""performer"",""composition"",""project"",""performance"",""composer"",""photography""]"
Fifteen Minutes of Meditation and Contemplation,31/05/2023 23:59,"Nagoya, Japan","Fifteen Minutes of Meditation and Contemplation




Vox Novus is calling for one-minute pieces composed for solo taishogoto (a Japanese String instrument). Selected works will be premiered on September 30, 2023 at 2:00 PM U.S. East Coast Time (UTC-4) on Fifteen-Minutes-of-Fame featuring multi-instrumentalist David Bohn. This perfomrance will be presented as a live streaming online concert using Streamyard broadcast to multiple streaming platforms such as YouTube and Facebook. The selected works will also receive a recording session. For this Fifteen-Minutes-of-Fame, we are looking for solo taishogoto works (no electronics) specifically written for David Bohn, with the theme of meditation or contemplation. Only works one-minute in length for taishogoto will be considered.

  




About the Taishogoto:




The Taishogoto (also known as the Nagoya Harp or Peacock Harp) was developed in the early 20th century. It consists of a course of three (or four) melody strings, which are fretted via a sort of keyboard arrangement, and one (or occasionally two) drone strings. The bridge for the drone string(s) is on a lower level than the melody strings.The melody strings are tuned to G, in octaves. The range of the fretboard is from the G below middle C to the F two octaves higher, plus a high G. The Drone string(s) are tuned to G, an octave lower than the melody strings. The melody strings are normally strummed to play all three strings, although single-string playing is possible, to play only the lower or higher octave. It is not possible to play more than one note at a time on the melody strings.

For this call, no pieces involving alternate tunings will be considered.

A video regarding the Taishogoto may be viewed at 

https://www.youtube.com/watch?v=YVeCEKGN9KU

  




Guidelines:




Deadline for works is May 31st, 2023.




Works are for taishogoto solo only. (no electronics)




No works over one minute (60 seconds) will be reviewed.




Works should be composed specifically for this call and performer.




All pieces must be premieres.




Multiple submissions are not accepted. Send your best work!




Works need to be submitted online at 

www.MusicAvatar.org




You will need to register with Music Avatar for free to submit your work online.




After logging in to Music Avatar, select the opportunity named ""Fifteen Minutes of Meditation and Contemplation featuring David Bohn"" and press the ""submit"" button to start the submission process.




You will need to provide a maximum 50 word biography and 50 word program note.




You will be able to upload a score as a PDF file (You are also encouraged to upload an audio realization of the work)




Must include the dedication to David Bohn on the score.




Performance notes should be included in the score.




Selected works will be broadcasted online to multiple video streaming platforms including Facebook, YouTube, and Vimeo. No performance royalties will be paid. Selected composers will be asked to sign a consent form.




 Results will be announced via the Fifteen-Minutes-of-Fame website.

 More can be found be found at: 

https://www.VoxNovus.com/fifteen-minutes-of-fame

  




About David Bohn




A native of Wisconsin, David Bohn received degrees in composition from the University of Wisconsin, University of Wisconsin-Milwaukee, and the University of Illinois. His primary composition teachers were Joel Naumann, Yehuda Yannay, and William Brooks. He has taught theory at the University of Wisconsin - Milwaukee, University of Wisconsin - Parkside and the University of Illinois. In his career as an multi-instrumentalist, he has given World or American premieres of hundreds of keyboard works. He currently resides in West Allis, Wisconsin, and is the music coordinator at Peace Methodist Church in Brookfield. He is President of the Wisconsin Alliance for Composers, and Vice President of the Wisconsin Chapter of the Organ Historical Society. Past calls/recording projects include three 15 Minutes of Fame calls, The Daniel Blitz Clavichord Project, The 100-Note Toy Piano Project, The COVID-19 Project, Twenty Seconds of 2020, 60 in 60 (more or less), and Fifteen Minutes of Fame/One Minute More for Toy Piano.

 




 Fifteen-Minutes-of-Fame is a Vox Novus project.",http://www.musicavatar.org/categories/Fifteen-Minutes-of-Meditation-and-Contempl...,"[""Other""]",FALSE,"[""electronic"",""compose"",""harp"",""music"",""piano"",""string"",""performer"",""solo"",""composition"",""organ "",""project"",""performance"",""instrumentalist"",""teach"",""teacher"",""composer""]"
Call for Colorado-based Collaborators,31/05/2023 23:59,Online,"The Playground Ensemble has issued a call for proposals for new, collaborative works from Colorado-based artists. You can learn more about the call here: 

https://www.playgroundensemble.org/cocosho-2023-call

I encourage you to apply if you are based in Colorado, and to share with any artists you know in Colorado who might be interested.",https://www.playgroundensemble.org/cocosho-2023-call,"[""Other""]",FALSE,
13th International Academy of Young Composers in Tchaikovsky-city,10/06/2023 23:59,"Moscow, Russia","We announce the call for submissions for participation in the 13th International Academy of Young Composers in Tchaikovsky-city, Perm region.

The Thirteenth International Young Composers Academy in Tchaikovsky-city will be held from August, 30 to September 13, 2023 in Tchaikovsky-city. The final concerts will take place in Tchaikovsky-city (September, 11-12) and in Moscow (September, 14-15).

The Academy will host concerts, lectures, meetings, master classes and presentations. For the first time the Academy launches the Laboratory of electroacoustic music (together with Center of electroacoustic music of Moscow conservatory).

Internationally-renowned composers are invited as tutors. Full tutors faculty is to be announced later.

The jury will select 24 young composers (12 students, 3 trainees and 9 observers) from all over the world, their new pieces will be performed by Moscow Contemporary Music Ensemble (MCME) and CEAM Artists at the final concert series.

Such ensembles as N'Caged, MCME, CEAM Artists will take part in concerts and educational projects of the Academy. We also invite musicologists and journalists to take part in the events of the Academy. There will be also organised advanced training courses (refresher courses) for teachers from Perm and the Perm region.

Food, accommodation and transport inside Russia (from Moscow) are covered by the Academy. Foreign participants will be given the opportunity to take part in an online fashion.

Applications must include:




1) name, surname




2) date and place of birth




3) short bio (up to 150 words)




4) photocopy of passport




5) 2-3 scores for any lineup (in pdf)




6) 2-3 recordings




7) the photo

Age limit – 35 years (in some cases it’s possible to apply if you’re older than 35, please contact us regarding this option).

Deadline for the applications – 10 of June 2023.

Applications should be submitted online:






https://forms.gle/zga9bQA9ZPVsEVs49

Important note: for points 3-7 please prepare links and make sure they are active until June 30 2023.




Please don't hesitate to contact us for any questions:






moscowensemble.academy@gmail.com

You can find more information here:






https://m-c-m-e.ru/eng/academy/application/",https://m-c-m-e.ru/eng/academy/application/,"[""Other""]",FALSE,"[""presentation"",""compose"",""education"",""music"",""student"",""project"",""teach"",""teacher"",""composer""]"
Dream American: Emerging Composers workshop and performance,18/08/2023 23:59,"Berlin, Germany","DREAM AMERICAN 2023




Pacific Chamber Orchestra is pleased to announce the third annual reading workshop for emerging composers of new works representing/emanating from/dedicated to an aspect of the cultural heritages and diversity that constitutes our American tapestry. Composers must either be U.S. Citizens or establishing themselves as permanent U.S. residents. BIPOC, ALANA, and LGBTQIA and all URG applicants are strongly encouraged to apply. PCO is committed to inclusiveness. Up to five composers will be selected to participate.

Reading workshops date: Sunday Oct 29 in Livermore, CA. Selected composers must attend and




participate in the reading workshops and cover their own travel costs.




Timeline:




•	Deadline for applications and score submissions: August 18, 2023 @ 11:59 PM




•	Notification of winners: no later than September 1, 2022




•	Parts must arrive by October 1, 2023; if parts not received by this date, there is no guarantee that the work will be included in the reading session.




Opportunities and process once selected:




•	Within the two weeks preceding the workshops a google doc forum will be setup in which musicians and composers may exchange clarifications as to technical matters.




•	Each composer will be able to have a zoom meeting with the conductor to go over the work.




•	During the workshop the work will be rehearsed, played, discussed with conductor and the Composer Mentors, and then rehearsed again and read again. There will be a final public performance at the end of the second workshop of the day.




•	At the end of each workshop there will be a panel discussion with all workshop participants, the composer mentors and conductor reviewing each work and the readings.




•	The workshops will be videoed and recorded for study and approved use by the participants. Submission requirements:




Duration: Preferably 6-8 minutes of music, with 4 minutes as the minimum amount, and 10 minutes




as the maximum amount.




Type: Submission may be a complete piece, a movement or section of a larger work. It must not have been read or performed by a professional orchestra. If a version of another work it must be substantially different. It is not a work for soloist and orchestra.




Instrumentation parameters:




•	Maximum: 1 flute/piccolo, 1 oboe/English horn, 1 clarinet/bass clarinet/e-flat clarinet, 1




bassoon, 1 French horn, 1 trumpet, 1 trombone, 1 harp, 2 percussion (2 timpani, vibraphone and smaller percussion instruments. Please inquire as to the possibility of other percussion instruments if desired; 4 Violin I, 3 Violin II, 3 Viola, 2 Cello, 1 String Bass.




•	Minimum: full strings plus at least four other non percussion instruments.

To Apply go to: 

https://pacificchamberorchestra.org/dream-american/




•	Your contact information and Bio; either a standard bio format or a narrative form telling us about yourself and your creative & personal life (200 words or less),




•	Statement about your work and why this opportunity is important to you (200 words or less),




•	Completed score.

Pacific Chamber Orchestra




The Pacific Chamber Orchestra (PCO), now in its 33nd season, is dedicated to sustaining and extending the rich heritage of classical music for chamber orchestra through inspiring performances and engaging educational programs designed to enrich local communities.

PCO musicians perform in the San Francisco Symphony, Opera or Ballet Orchestras, touring Broadway shows and feature films recorded at Skywalker Ranch. PCO is a resident company of Livermore’s Bankhead Theater and also performs concert series in Lafayette. For more information,




visit 

https://www.pacificchamberorchestra.org/

.

Maestro Lawrence Kohl




Frequently noted by critics for his creative programming and bold interpretations, Kohl was awarded special recognition in 2016 by the Cultural Arts Commission of Contra Costa County for his contribution to the arts.

Kohl’s creative work led to the marketing firm AKQA receiving a Silver Lion award from the 2013 Cannes Lions International Festival of Creativity. Kohl was chosen to premier a new work for the 60th Anniversary of the United Nations held at Grace Cathedral in San Francisco. Awarded the UCLA Music Department’s first University Chancellor Fellowship, Kohl did his doctoral work in Systematic Musicology while also holding the position of Conducting Teaching Associate under Samuel Krachmalnick, Leonard Bernstein’s chosen conductor of his original Broadway production of “Candide.” Kohl later also worked with Goffredo Cordietti, Arturo Toscanini’s only conducting assistant. A consummate clarinetist, Kohl has performed chamber music internationally and toured with the San Francisco Symphony. Videos about PCO and Kohl can be seen on our website: 

www.pacificchamberorchestra.org

Jean Ahn, Composer Mentor

A native of Korea, composer Jean Ahn’s creative output ranges from solo instruments and chamber music to full orchestra, as well as choral, dance, and electroacoustic music. She is the director of Ensemble ARI, a Lecturer at UC Berkeley and the music director for CHIM Studio, specializing in music for special needs students.

She received First Prize at the Renée Fisher Competition and the Sejong Korean Music Competition as well as awards from the Korean National Music Composers Association, the De Lorenzo Prize in Music Composition, and the Isadora Duncan Award for Saltdoll. Last year, she was a Finalist for the League of American Orchestra Women Composers Commissioning Competition, and for the American Prize.

Her works have been performed by the Berkeley Symphony, Oakland East Bay Symphony, Memphis Symphony, Diablo Symphony, California Youth Symphony, Contemporaneous Ensemble, Dinosaur Annex, Earplay, Enhake, Ensemble Sur Plus, Invoke String Quartet, Khasma Duo and Aspen New Music Ensemble.

Commissions include works for the Left Coast Chamber Ensemble, Volti, SF Bach Choir, SF Choral Artists, Ong Dance Company, New Arts Collaboration, Gayaguem Soloist JUL, Locrian Chamber Players among others.

Her research into Korean folk songs, “Folksong Revisited”, has been presented at the College Music Society Symposium, the National Association of Singers Convention, and the Symposium for New Music in São Paulo, Brazil. With her folk song collection, she introduces Korean songs and techniques to professional performers in the US. The recording, with a pronunciation guide, will be published this year.

Kurt Rohde, Composer Mentor




Musician Kurt Rohde [h/h/t/t] plays viola, teaches and composes. He lives in San Francisco on unceded Ramaytush Ohlone land with his husband Tim and their dog Hendrix. In addition to enjoying double IPAs, off-beat films, and long distant running, he plays viola and is Artistic Advisor with the Left Coast Chamber Ensemble, Artistic Director of the Composers Conference, a curator at the Center for New Music, and teaches music composition at UC Davis. He has received the Rome Prize, Berlin Prize, fellowships from the Radcliffe-Harvard Institute for Advanced Study and Guggenheim Foundation, and awards from American Academy of Arts and Letters, Barlow, Fromm, Hanson, and Koussevitzky Foundations.

Recent projects include new works for Hidejiro Honjoh, the Lydian String Quartet, the Grossman Ensemble, and Ensemble Échappé. His CD, It wasn’t a dream… , was released on Albany Records in Spring 2020. A recipient of a 2021 Creative Capital Award, Kurt is working on a collaborative project with artist Marie Lorenz and writer Dana Spiotta. Newtown Odyssey will be a floating opera addressing environmental catastrophe and justice. He is a recipient of a 2021 NEA grant to collaborate with poet Donna Masini on a micro-opera based on her collection 4:30 Movie.

Kurt has spearheaded two initiatives to help create opportunities for composers: The Kurt Rohde Composers Fund is an ongoing commissioning project supporting composers at different stages of their creative life, and Kurt Rohde’s Farewell Tour Project – PARTS 1, 2, 3, 4, 5, & 6 targets underappreciated creative voices in the new music community by commissioning new works for viola.",https://pacificchamberorchestra.org/dream-american/,"[""Grant"",""Workshop""]",FALSE,"[""education"",""commission"",""trombone"",""oboe"",""viola"",""soloist"",""flute"",""string quartet"",""cello"",""bass clarinet"",""piccolo"",""musician"",""tour"",""harp"",""percussion"",""solo"",""workshop"",""singer"",""composition"",""bassoon"",""orchestra"",""duo"","" opera "",""clarinet"",""teaching"",""french horn"",""music"",""dance"",""string"",""performer"",""trumpet"",""project"",""performance"",""teach"",""composer"",""timpani"",""bass"",""compose"",""violin"",""english horn"",""arts"",""student"",""competition"",""prize""]"
U.S. Navy Band Alton Adams Award for Emerging Composers,01/08/2023 23:59,Online,"The first Black bandmaster in the Navy, Chief Musician Alton Augustus Adams Sr., holds a significant place in the legacy of Navy Music. Adams, a pioneer in his own right, led an all-Black Navy Band during a period of racial segregation. He believed that music in service to our nation could be a catalyst for social change. Reflecting upon his experience while on tour with his band in 1924, Adams said, ""Above all, the tour had a profound and lasting impact upon the minds and attitudes of African Americans, who saw our accomplishments not only as a vindication of the race, but also an opportunity for better treatment and greater equality.""

Those who came before us laid the groundwork for our future, embodying this line of our Sailor’s Creed: “I am committed to excellence and the fair treatment of all.” In this spirit, create a choral work or arrangement up to six minutes in length which celebrates and/or pays homage to female trailblazers.

Open to citizens and legal permanent residents of the United States, ages 18-41 as of Jan. 1, 2023. Those involved in a military music program (active duty, guard or reserve) are not eligible.

To enter the competition please email the competition coordinator at 

USNBCompetitions@us.navy.mil

 with your proposed instrumentation. You will be sent further submissions details. The composer will still retain all ownership and publication rights. The U.S. Navy Band will neither publish nor distribute the compositions.

For more information: 

https://www.navyband.navy.mil/education/alton-adams-award",https://www.navyband.navy.mil/education/alton-adams-award,"[""Other""]",FALSE,"[""musician"",""compose"",""education"",""tour"",""music"",""composition"",""competition"",""composer""]"
Call for submissions for the Sousa-ABA-Ostwald Composition Contest 2023,01/08/2023 23:59,"Washington, Washington, United States","The Sousa-ABA-Ostwald Composition Contest committee is announcing a call for submissions for the 2023 award. The contest for this year is for original compositions for concert band in the grade 1-4 difficulty level composed after August 1, 2020. A full description of the contest along with submission requirements and deadlines can be accessed at 

http://www.americanbandmasters.org/sousa-aba-ostwald-composition-contest...

The cash award for the winning composer/composition is $5000 and the winning composition will be performed by one of the Premier Military Bands at the American Bandmasters Convention March 6-8, 2024 in Washington, DC.

Deadline for submissions is August 1, 2023. If you need further information, please contact Dennis W. Fisher, committee chair at 

dennis.fisher@unt.edu

.",http://www.americanbandmasters.org/sousa-aba-ostwald-composition-contest-rules/,"[""Contest""]",FALSE,"[""composer"",""compose"",""composition""]"
The Capital Hearings 2023 Young Composers (18-40) Competition,09/06/2023 23:59,Online,"The Capital Hearings are delighted to announce our ninth annual Young Composers Competition!  Entries are due on 

Friday, June 9.

SUMMARY OF RULES

Submissions for 2023 must be related to the following theme: 

Memories & Visions

.   Humans have a unique relationship with time; as the only species who measures and records our history, keeping track of what’s past has always served to help us plan our future. We are also one of few species apparently aware of our own temporary nature – of the need to prepare future generations for a day without us. We look forward to hearing your thoughts and perspectives on this theme.

HOW TO SUBMIT

Thank you in advance -- we look forward to reviewing your submission!",https://www.thecapitalhearings.com/competition,"[""Other""]",FALSE,"[""composer"",""competition"",""compose""]"
Call for Scores: SATB,30/06/2023 23:59,"Philadelphia, United States","Epiphany Singers and Wildflower Composer seek SATB a capella scores for the Epiphany Singers winter 2023 concert.

Eligible composers are:




- Between the ages of 18 and 30




- Reside within 30 miles of Philadelphia




- Female, transgender, nonbinary, and/or genderqueer

Eligible scores are:




- Composed for SATB a capella (minimal splits)




- Intermediate to advanced level




- Work thematically with a winter season concert




- Approximate duration of 2–5 minutes

Deadline to submit is June 30 at 

https://docs.google.com/forms/d/e/1FAIpQLScQ8gvghYkwM9ht9N54Qfi4KPfsw3ok...

Contact 

erin@wildflowercomposers.org

 with any questions or concerns.

https://epiphanysingers.wixsite.com/epiphanysingers






https://wildflowercomposers.org",https://docs.google.com/forms/d/e/1FAIpQLScQ8gvghYkwM9ht9N54Qfi4KPfsw3oki60R-T5R...,"[""Other""]",FALSE,"[""composer"",""singer"",""compose""]"
Idiosyncrasies: A Call for Scores,01/07/2023 23:59,"Jos, Nigeria","Rising composers early in their careers are welcomed and encouraged to submit to cellist Joshua Lyphout's 2023 Call for Scores, ""Idiosyncrasies""! All winning composers will be awarded a prize of up to $600, have their piece premiered on a recital in the Spring of 2024 at Bowling Green State University, and receive a professional studio recording. Up to 60 minutes of music will be selected.

This call for scores is open to composers of any nationality who are under 30 years old, have graduated within the past 3 years, or are currently still in school. Composers are encouraged to submit their music regardless of compositional style, all submissions will be considered equally and on their own terms.

This Call for Scores was funded in part by the MidAmerican Center for Contemporary Music at the College of Musical Arts of Bowling Green State University and the Hansen Music Fellowship Program.

For more information and to apply: 

https://www.joshlyphoutcello.com/call-for-scores",https://www.joshlyphoutcello.com/call-for-scores,"[""Other""]",FALSE,"[""compose"",""music"",""call for score"",""arts"",""composition"",""prize"",""cello"",""composer""]"
2024-25 Call for Scores - T.U.X. People's Music Publishing Company,01/09/2023 23:59,Online,"Compose? We are accepting submissions for our 2024-25 catalog release! Our team is always looking out for new and exciting musical voices to add to our roster of astounding composers each year. If you believe some of your music might be a great fit for our catalog, we highly encourage you send them our way for consideration.

SUBMIT HERE: 

https://www.tuxpeoplesmusic.com/publish-with-us.html

DEADLINE: We accept submissions year-round, however please have all the prospective pieces you would like considered specifically for our upcoming 2024-25 catalog submitted no later than September 1st, 2023. We look forward to reviewing your music!",https://www.tuxpeoplesmusic.com/publish-with-us.html,"[""Other""]",FALSE,"[""composer"",""music"",""compose""]"
RMCC Call for Compositions 2023 Competition,11/06/2023 23:59,Online,"The Rocky Mountain Chamber Choir Call for Composition 2023 aims to highlight two new pieces of choral music. Composers of any age or nationality are welcome to submit compositions regardless of if they have received a prior performance or not. Both published and unpublished works are accepted. RMCC will select a composition from each category to receive a free recording of the winning composition and a feature on our YouTube channel. 

Category 1: Compositions geared towards amateur choirs of any type (i.e., church choir, school, community).




Category 2: Category 2: Compositions geared towards professional or semi-professional ensembles.

For more information and to submit work: 

https://www.rockymountainchamberchoir.com/callforcompositions",https://www.rockymountainchamberchoir.com/callforcompositions,"[""Other""]",FALSE,"[""compose"",""music"",""composition"",""performance"",""composer""]"
"The Evan Erickson Music ""2023 Call for Scores""",01/06/2023 23:59,"Memphis, United States","Now entering its 3rd year, the Evan Erickson Music “2023 Call for Scores” is an opportunity specifically aimed at composers who have heard no more than 5 of their pieces premiered across their life. As long as this requirement is met, entrants can be of any age, nationality, sex, etc. Composers will be submitting 2 of their best representative works (score and audio), along with a 500-word proposal on why they are applying to this opportunity.

THIS OPPORTUNITY IS NOT SEEKING WORKS FROM ESTABLISHED COMPOSERS. Your submission will not be accepted if you have heard more than 5 of your works premiered (however, if you have heard over 5 works premiered but believe this opportunity is still very important to you, please contact Evan separately).

Three winners will be chosen, receiving all of the following prizes:

A paid commission to compose a 4-7 minute work (length can be discussed) for the Möbius Duo (Bb Clarinet and Alto/Tenor Saxophone)




1st place: $500




2nd place: $400




3rd place: $300

A premiere performance of the commissioned piece on a TBA University of Memphis recital.

A professional recording for a not-for-profit album + for composers to use at their discretion (sale of recordings must receive permission by the Möbius Duo).

Through a partnership with George N. Gianopolous (a score video YouTube channel with 30k+ subscribers sharing lots of new music), all commissioned pieces, once recorded, will be put on his channel for further exposure.

Sponsored by MakeMusic, a copy of Finale v27 ($299) will be provided. If a winner already has Finale, this prize will be given to runner-ups to give them access to further resources for their composing.

Sponsored by Wallander Instruments, a copy of Noteperformer 3 ($129) will be provided. If a winner already has Noteperformer, this prize will be given to runner-ups to give them access to further resources for their composing.

To submit work: 

https://docs.google.com/forms/u/1/d/e/1FAIpQLSex1ydfDriPxFzBzlLZe5uhVx1-...",https://www.evanericksonmusic.com/2023-call-for-scores,"[""Other""]",FALSE,"[""clarinet"",""compose"",""commission"",""music"",""call for score"",""performer"",""prize"",""performance"",""duo"",""composer""]"
Publish Your Gothic Funk Work,None,Online,"PUBLISH YOUR GOTHIC FUNK WORK 

Contact: Connor Coyne




708.224.5297






connor@gothicfunk.org

FOR IMMEDIATE RELEASE

Flint, MI / 2 February, 2023 – Writers and artists from around the world have a new publication opportunity through the Michigan-based Gothic Funk Press.

Gothic Funk Press is now accepting submissions for the seventh issue of its arts journal, The Paramanu Pentaquark.

The journal will be published online and available to the public for free. Submissions can be uploaded to the Gothic Funk Press website at: 

http://www.gothicfunkpress.com/submissions-parapenta/

.

As a free publication with volunteer editors and designers, submitting artists are compensated with publication credit and retain all rights to their own work.

The Paramanu Pentaquark features literature, visual art, music, and mixed media submitted as Images, Sounds, and Words. The journal accepts submissions created in a “Gothic Funk” style: experimental work featuring degrees of romanticism, darkness, depth, and swagger. Please visit our websites at 

http://gothicfunkpress.com

 and 

http://gothicfunk.org

 to learn more about this aesthetic.

The Paramanu Pentaquark is committed to international perspectives and in the past has published artists from Australia, Egypt, Finland, Ireland, Israel, the Netherlands, Serbia, South Africa, the United Kingdom, the United States, and elsewhere. 

Submitted work will be evaluated by three editors. The most recent issue of The Paramanu Pentaquark can be viewed online at 

http://www.gothicfunkpress.com/parapenta/06/

.

Gothic Funk Press is an independent publisher based in Flint, Michigan.  In addition to the publication of new work, the Press has partnered with the Flint Public Library to bring free writing workshops to the community, and has coordinated community engagement events such as the Flint Order of Orpheus and the Flint Area Scavenger Hunt.

# # #",http://www.gothicfunkpress.com/submissions-parapenta/,"[""Workshop""]",FALSE,"[""music"",""arts"",""workshop"",""visual art"",""volunteer""]"
Emory University 2023 Call for Compositions,16/05/2023 23:59,"Atlanta, Georgia, United States","Emory University and the Emory University Symphony Orchestra (Atlanta, Georgia, USA) are excited to announce a commissioning opportunity for Black, Indigenous and people of color (BIPOC) female composers.

The selected composer will receive 3500 USD to create a new work for symphony orchestra (that has not yet been performed or published) of not less than ten minutes in total duration. This amount includes both a 2000 USD commission fee as well as a 1500 USD to defray travel and related costs. The selected composer will be responsible for arranging their own travel for two (2) trips to Atlanta, Georgia, for workshops and the premiere.

A collaborative process is important for this project. The orchestra will be available to read short passages, excerpts, and provide recordings and feedback during the fall. The selected composer is encouraged to send draft material for this purpose before October 1. The composer and conductor will devise a process-oriented timeline for the fall.

The selected composer must commit to travel to Atlanta, Georgia, twice in 2024. First, for three consecutive days (TBD) to workshop the score in January/February 2024, and again in April 2024, for final rehearsals and the premiere.*




The selected composer must also submit initial score and parts no later than January 5, 2024, with revisions due by March 1, 2024.*

*All dates are subject to pandemic-related changes.

Apart from the commission fee and travel allowance, the selected composer will receive:




-Two preliminary workshop rehearsals with a full, conducted symphony orchestra to facilitate revision




-The opportunity to work directly with a conducted symphony orchestra in multiple rehearsals in preparation for the premiere




-A premiere performance in Atlanta’s Schwartz Center for Performing Arts for a live audience




-A professional-quality recording (audio and video) of the premiere performance

Eligibility Criteria:




-Any female BIPOC composer




-Composers of any age and at any stage of their career, from student to professional, are all encouraged to apply




-Scores will be judged, in part, relative to the career stage of the composer. Extensive experience writing for symphony orchestra is not required.

-To apply, please submit the following items in a single folder (upload link here) by May 16, 2023:




1- Two to three (2-3) compositions for consideration. These compositions may be any genre or instrumentation – with at least one of these compositions employing traditional notation and a notated score (submitted as a .pdf file). Recordings of your compositions (live or MIDI) shared as URLs are encouraged but not required.




2- A current CV.




3- We want to learn about what motivates you artistically. Please submit either a written statement (up to 500 words) or a video URL (not more than 5 minutes in duration) that describes your creative voice, discusses your work, your artistic goals, and what you would like to accomplish in this project.

Jury: Emory University faculty




**For more information and to apply: 

http://emorysymphony.org/emory-university-commission-call/

 

Previously-selected Composers:

Sofia Rocha, 2022




Brittany Green, 2021",https://emorysymphony.org/emory-university-commission-call/,"[""Workshop""]",FALSE,"[""compose"",""commission"",""arts"",""student"",""workshop"",""composition"",""orchestra"",""project"",""performance"",""composer""]"
International Composition Institute of Thailand (ICIT) 2023,15/07/2023 23:59,"Bangkok, Thailand","International Composition Institute of Thailand (ICIT) is an intensive and unique experience for young composers around the world to experiment their own sonic and conceptual ideas with highly artistic performers, ensembles and participate in in-depth sessions with professional contemporary living mentors/composers. The ICIT will be held on December 18th - 24th, 2023 with the partnership of Bangkok Art and Culture Centre (BACC). Moreover, the selected works of participants will be premiered in a public concert from December 21st - 24th, 2023 at the IntAct Festival. ICIT’s faculties this year are including: Jason Thorpe Buchanan (USA), Anothai Nitibhon (Thailand), Emily Koh (USA/Singapore), Scott Wilson (UK/Canada), Narong Prangcharoen (Thailand), Jiradej Setabundhu (Thailand), and Piyawat Louilarpprasert (Thailand/US).

Application Deadline: July 15th 2023

Prize: The winner will receive $1,500 USD as well as a commission for the next ICIT and IntAct 2024

Participants Fee: $1,050 USD (including lessons, lectures, rehearsal times, concert performance and professional documentation of recordings and videos)

* The participant will cover their own expense for housing and travel. This year the festival could suggest accommodation locations for self-booking. The Institute will provide an invitation letter for participants to apply for their own individual grants for support.

** The ICIT 2023 is open for both on-site and online participation.

Apply Now: 

https://docs.google.com/.../1FAIpQLSdz.../viewform

More information: 

http://www.tmaomusic.com/icit2023/",http://www.tmaomusic.com/icit2023/,"[""Grant""]",FALSE,"[""compose"",""commission"",""music"",""performer"",""composition"",""prize"",""performance"",""composer""]"
